"MF","FSET","Fnum","Feature","Risk","Version"
"Управление персоналом","Контроль состояния и распределение ресурсов (RAS)","F01","Составить список сотрудников",,
"Управление персоналом","Контроль состояния и распределение ресурсов (RAS)","F02","Создать нового сотрудника",,
"Управление персоналом","Контроль состояния и распределение ресурсов (RAS)","F03","Редактировать детальные данные сотрудника",,
"Управление персоналом","Контроль состояния и распределение ресурсов (RAS)","F04","Добавить сотрудника в участники проекта",,
"Управление персоналом","Контроль состояния и распределение ресурсов (RAS)","F05","Удалить сотрудника из участников проекта",,
"Распределение рабочего времени","Контроль состояния и распределение ресурсов (RAS)","F09","Создать рабочее расписание для сотрудника",,
"Распределение рабочего времени","Контроль состояния и распределение ресурсов (RAS)","F10","Корректировать рабочее расписание для сотрудника",,
"Управление регистрационными данными","Администрирование","F06","Создать аккаунт для сотрудника",,
"Управление регистрационными данными","Администрирование","F07","Заблокировать аккаунт сотрудника",,
"Управление регистрационными данными","Администрирование","F08","Задать метод аутентификации сотрудника",,
